Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
141,Chassis Conveyor,"10911S023/6 SPROCKET 1.5"" PITCH 14 TEETH",Praja,1,,16694,1,1,,
142,Chassis Conveyor,"10911S023/D ROLLER CHAIN 1.5"" SIMPLEX",Praja,,,16695,0,0,,
143,Chassis Conveyor,10911S023/D1 CHAIN LOCK ROLLER CHAIN 1.5,Praja,,,16696,5,5,,
144,Chassis Conveyor,10911S021/3 MAIN SPROCKET 8T 250MM PITCH,Praja,,,16697,1,1,,
145,Chassis Conveyor,"10911S032/6 SPROCKET 20T 1"" PITCH 162PCD",Praja,,,16698,1,1,,
146,Chassis Conveyor,10911S032/5 ROLLER DIA 140 x 50 LG,Praja,,,16699,4,4,,
147,Chassis Conveyor,10911S032/4 SHAFT DIA 50 x 1538 LG,Praja,,,16700,1,1,,
148,Chassis Conveyor,"10911S032/C CHAIN 1"" P",Praja,,,16701,1,1,,
149,Chassis Conveyor,"10911S032/C1 CHAIN LOCK FOR CHAIN 1"" P",Praja,,,16702,5,5,,
150,Chassis Conveyor,10911S053/4 SHAFT DIA 48 x 1110 LG,Praja,,,16703,1,1,,
151,Chassis Conveyor,10911S053/6 SHAFT DIA 38 x 207 LG,Praja,,,16704,1,1,,
152,Chassis Conveyor,10911S053/8 PIN DIA 34 x 68 LG,Praja,,,16705,1,1,,
153,Chassis Conveyor,10911S081/2 LOAD PIN,Praja,,,16706,2,2,,
154,Chassis Conveyor,10911S053/6 SHAFT DIA 25 x 270 LG,Praja,,,16707,1,1,,
155,Chassis Conveyor,10911S018/3 MAIN SPROCKET 8T 250MM PITCH,Praja,,,16708,1,1,,
156,Chassis Conveyor,10911S016/3 MAIN SPROCKET 8T 250MM PITCH,Praja,,,16709,1,1,,
157,Chassis Conveyor,"10911S020/1 SHEAR PIN SPROCKET 37T 1.5""P",Praja,,,16710,0,0,,
158,Chassis Conveyor,"10911S020/4 SPROCKET 1.5"" PITCH 14 TEETH",Praja,,,16711,1,1,,
159,Chassis Conveyor,"10911S026/D DRIVE CHAIN 3/4"" P LG",Praja,,,16712,0,0,,
160,Chassis Conveyor,"10911S026/D1 CHAIN LOCK FOR CHAIN 3/4"" P",Praja,,"Shuttle car chain conveyor, chain lock",16713,3,3,,
161,Chassis Conveyor,"SPROCKET 20T 3/4"" PITCH",Praja,,,13618,2,2,,
,Chassis Conveyor,"SPROCKET 12T 1.5"" PITCH",Praja,,,13619,2,2,,
160,Chassis Conveyor,"10911S026/A CHAIN 1.5"" P 40'-6"" LG",Praja,,,16714,1,1,,
161,Chassis Conveyor,"10911S026/A1 CHAIN LOCK FOR CHAIN 1.5"" P",Praja,,,16715,5,5,,
162,Chassis Conveyor,"Sensor, NBB20-L2-E2-V1, Part No. 187481, 10-30vDC",PEPPERL+FUCHS,10,Sensor,10041,12,12,,
163,Chassis Conveyor,T-Head Pin for LCV Conveyor,Praja,1000,T-Pin,9498,221,221,,
164,Chassis Conveyor,"Chassis Conveyor Drive Unit Sprocket, 10911D023R2/6, 14T 1/2"" P",Praja,2,Sprocket,12633,0,0,,
165,Chassis Conveyor,VFD Power Module 6SL3224-OBE13-7UAO,Siemens,1,,13532,1,1,,
166,Chassis Conveyor,VFD control unit 6SL3244-0BB00-1BA1,Siemens,1,,11804,1,1,,
167,Chassis Conveyor,"Plummer block (Tension unit) UCT215 D1 , NTN",NTN,2,Plummer Block,9799,0,0,,
168,Chassis Conveyor,"SIMPLEX ROLLER CHAIN PITCH 1 1/2""x 3.05M",Praja,1,,11161,0,0,,
169,Chassis Conveyor,"SIMPLEX ROLLER CHAIN PITCH 3/4"" x 3.05 M",Praja,1,,11159,1,1,,
170,Chassis Conveyor,"SIMPLEX ROLLER CHAIN PITCH 1"" x 3.05 M",Praja,,,11160,0,0,,
171,Chassis Conveyor,"SIMPLEX  CHAIN HALF LOCK 3/4""",Praja,,,11162,15,15,,
172,Chassis Conveyor,"SIMPLEX  CHAIN HALF LOCK 1""",Praja,,,11163,0,0,,
173,Chassis Conveyor,"SIMPLEX  CHAIN HALF LOCK 1 1/2""",Praja,,,11164,0,0,,
174,Chassis Conveyor,"SIMPLEX  CHAIN FULL LOCK 3/4""",Praja,,,11165,10,10,,
175,Chassis Conveyor,"SIMPLEX  CHAIN FULL LOCK 1""",Praja,,,11166,0,0,,
176,Chassis Conveyor,"SIMPLEX  CHAIN FULL LOCK 1 1/2""",Praja,,,11167,0,0,,
177,Chassis Conveyor,Pin for LCV Conveyor,Praja,1000,,9499,29,29,,
178,Chassis Conveyor,CHASSIS CONVEYOR PUSHER,Praja,250,,11091,6,6,,
179,Chassis Conveyor,"OUTER LINK FOR LCV CONVEYOR CHAIN 12"" P",Praja,1000,,100045,1,1,,
180,Chassis Conveyor,"INNER LINK FOR LCV CONVEYOR CHAIN 12"" P",Praja,1000,,100047,0,0,,
181,Chassis Conveyor,ROLLER FOR LCV CONVEYOR,Praja,2500,,3554,43,43,,
182,Chassis Conveyor,BUSH FOR LCV CONVEYOR,Praja,2500,,100031,50,50,,
183,Chassis Conveyor,6ES72920BB420XA0 PROFIBUS CONNECTOR,Siemens,25,,100624,9,9,,
184,Chassis Conveyor,6XV18300EH10 PROFIBUS CABLE,Siemens,200 mtr,,3790,100,100,,
185,Chassis Conveyor,6ES79538LG200AA0 MMC CARD 512KB,Siemens,,,8774,1,1,,
186,Chassis Conveyor,6SL3224OBE222UAO PM 240 SINAMICS ,Siemens,1,Chassis Conveyor VFD Power Module,11792,2,2,,
187,Chassis Conveyor,6SL32440BB001PA1 CONTROL UNIT G120 SINAM,Siemens,1,Chassis Conveyor VFD Control Unit,15831,1,1,,
188,Chassis Conveyor,Gear Motor 2.20 KW R107R77DRS90L4,SEW,1,Chassis conveyor motor ,NA,,,,
