material no.,description,bin no.,val.stock,max.price,value,uom,storage loc
5200,500108 GAUGE WATER TEMP.,1000DG,0,,0,NOS,1060
5201,3175545 SEAL O-RING,1000DG,0,,0,NOS,1060
5202,205216 O-RING,1000DG,0,,0,NOS,1060
5203,206277 GASKET,1000DG,0,,0,NOS,1060
5204,206443 GASKET,1000DG,2,,85.04,NOS,1060
5205,206709 TUBE WATER TRANSFER,1000DG,0,,0,NOS,1060
5206,207244 RING INJ.SEALING,1000DG,0,,0,NOS,1060
5207,3000308 ELBOW,1000DG,0,,0,NOS,1060
5208,3001340 O-RING,1000DG,0,,0,NOS,1060
5209,3002956 TUBE,1000DG,0,,0,NOS,1060
5210,3003016 SEAL O-RING,1000DG,0,,0,NOS,1060
5211,3008706 SCREW INJECTOR,1000DG,0,,0,NOS,1060
5212,3008710 SEAL RING,1000DG,0,,0,NOS,1060
5213,3010510 O-RING,1000DG,4,,158.92,NOS,1060
5214,3014304 SEAL RING,1000DG,0,,0,NOS,1060
5215,3028291 O-RING,1000DG,0,,0,NOS,1060
5216,3179027 GASKET CONNECTION,1000DG,0,,0,NOS,1060
5217,3201517 GASKET RKR. HOUSING,1000DG,4,,899.48,NOS,1060
5218,AR3022340 GASKET CYL.HEAD,1000DG,10,,"3,806.20",NOS,1060
5219,AS060400SS  HOSE,1000DG,0,,0,NOS,1060
5220,AS0604500S  HOSE,1000DG,0,,0,NOS,1060
5221,AK 6030 SS HOSE FLEXIBLE,1000DG,0,,0,NOS,1060
5222,3026421 SEAL O-RING,1000DG,6,,"1,348.20",NOS,1060
5223,3175856 GASKET,1000DG,0,,0,NOS,1060
5227,67622 PLUG,1000DG,0,,0,NOS,1060
5228,3237954 ELEMENT AIR CLEANER,1000DG,3,,"35,306.16",NOS,1060
5229,AX1013360 RADIWASH 205LTR.,1000DG,0,,0,NOS,1060
5364,3037537 SEAL `O'RING,1000DG,0,,0,NOS,1060
5602,43828 CLAMP HOSE,1000DG,11,,283.47,NOS,1060
5603,63411 HOSE,1000DG,13,,"5,850.00",NOS,1060
5604,136840 HOSE,1000DG,0,,0,NOS,1060
5605,3235704 HOSE TURBO DRAIN,1000DG,0,,0,NOS,1060
5974,3238493 FUEL  FILTER WITH O-RING,1000DG,0,,0,NOS,1060
5975,3238204 ELEMENT LO & O-RING,1000DG,1,,557.33,NOS,1060
6290,AR387951700 ELEMENT C.R (AR 95679),1000DG,0,,0,NOS,1060
6291,3179026 GASKET,1000DG,0,,0,NOS,1060
6292,3011580 GASKET,1000DG,0,,0,NOS,1060
6543,AS0603400SS HOSE,1000DG,0,,0,NOS,1060
6544,AS0603200SS HOSE,1000DG,0,,0,NOS,1060
6545,AS0602900SS HOSE,1000DG,0,,0,NOS,1060
6546,AS0603100SS HOSE,1000DG,0,,0,NOS,1060
6547,AS0609000SS HOSE,1000DG,0,,0,NOS,1060
6548,AS1002100SS HOSE,1000DG,0,,0,NOS,1060
6549,AS0401000SS HOSE,1000DG,0,,0,NOS,1060
6550,3026395 HOSE PLAIN,1000DG,2,,191.28,NOS,1060
6551,3232210 HOSE,1000DG,0,,0,NOS,1060
6552,3225660 CAP DUST,1000DG,2,,261.32,NOS,1060
